id,club_name,address,postcode,w3w,location,open_days,open_times,par,ratings,standard_price,guest_price,length_yards,avg_round_time,terrain,accessibility,parking_info,nearby_town,region,short_desc
106,Hawick Golf Club,"Vertish Hill, Hawick",TD9 0NY,///feuds.lizards.recruited,"55.411883,-2.799957",,,,,,30,,,,,,,,
107,Hayston Golf Club,"Campsie Rd, Kirkintilloch, Glasgow",G66 1RN,///festivity.waving.noted,"55.943038,-4.174494",,,,,,30,,,,,,,,
108,Helensburgh Golf Club,"25 E Aberchromby St, Helensburgh",G84 9HZ,///pollution.used.punk,"56.011441,-4.7167",,,,,,30,,,,,,,,
109,Hilton Park Golf Club,"Auldmarroch Estate, Stockiemuir Rd, Milngavie, Glasgow",G62 7HB,///disposal.domain.placidly,"55.968346,-4.362293",,,,,,30,,,,,,,,
110,Hirsel Golf Club,"Kelso Rd, Coldstream",TD12 4NJ,///approve.adverbs.implanted,"55.650698,-2.26154",,,,,,30,,,,,,,,
111,Inchmarlo Golf Centre,"Inchmarlo, Banchory",AB31 4BQ,///condense.tripods.target,"57.059441,-2.528398",,,,,,30,,,,,,,,
112,Inverness Golf Club,"Culcabock Rd, Inverness",IV2 3XQ,///boats.chefs.struck,"57.473062,-4.202392",,,,,,30,,,,,,,,
113,Inverurie Golf Club,"Davah Wood, Blackhall Road, Inverurie","AB51 5JB ",///increases.elevated.goodbye,"57.281061,-2.396432",,,,,,30,,,,,,,,
114,Irvine Golf Club,"Bogside, Irvine",KA12 8SN,///destiny.torso.boot,"55.626469,-4.686043",,,,,,30,,,,,,,,
115,Irvine Ravenspark Golf Club,"Kidsneuk, Irvine ",KA12 8SR,///trams.stretcher.spending,"55.631239,-4.681025",,,,,,30,,,,,,,,
116,Kemnay Golf Club,"Monymusk Rd, Kenmay, Inverurie",AB51 5RA,///interviewer.grazed.tonal,"57.229315,-2.449636",,,,,,30,,,,,,,,
117,Kilbirnie Golf Club,"Largs Rd, Kilbirnie",KA25 7AT,///proofread.baffle.fenced,"55.753328,-4.695268",,,,,,30,,,,,,,,
118,Kilmacolm Golf Club,"Porterfield Rd, Kilmacolm",PA13 4PD,///march.giraffes.arranged,"55.889594,-4.617422",,,,,,30,,,,,,,,
119,Kilmarnock (Barassie)Golf Club,"29 Hillhouse Rd, Troon",KA10 6SY,///chapels.highs.fastening,"55.562433,-4.650625",,,71,,50-70,30,6500,,Links,,,Troon,South Ayrshire,Challenging links with modern and traditional features
120,Kilspindie Golf Club,"The Clubhouse, Aberlady, Longniddrt",EH32 0QD,///crispier.defining.eyelashes,"56.012276,-2.873626",,,69,,40-60,30,5562,,Links,,,Aberlady,East Lothian,Friendly and charming short course
121,Kings Acre Golf Course,"Kings Acre Golf Course, Lasswade",EH18 1AU,///appeal.prompting.audio,"55.891696,-3.11314",,,,,,30,,,,,,,,
122,Kings Golf Club,"Balphadraig Road, Inverness",IV3 8AX,///apply.hidden.broom,"57.466486,-4.254287",,,,,,30,,,,,,,,
123,Kings Links Golf Centre,"Golf Rd, Aberdeen ",AB24 5QB,///guard.plot.rests,"57.158487,-2.084949",,,,,,30,,,,,,,,
124,Kingsbarns Golf Links,"Back Stile, Kingsbarns, St Andrews",KY16 8QD,///tape.tenses.ecologist,"56.298634,-2.646174",,,,,,30,,,,,,,,
125,Kingsfield Golf Centre,Linlithgow,EH49 7LS,///kindness.manicured.obeyed,"55.982953,-3.553651",,,,,,20,,,,,,,,
126,Kingsknowe Golf Club,"326 Lanark Rd, Edinburgh",EH14 2JD,///goes.bumpy.shut,"55.913931,-3.262582",,,,,,22,,,,,,,,
127,Kinross Golf Courses,"2 Muirs, Kinross",KY13 8AS,///pioneered.baking.bristle,"56.208967,-3.421736",,,,,,20,,,,,,,,
128,Kippie Lodge Sports & CC,"N Deeside Rd, Millitimber, Aberdeen",AB13 0AB,///gagging.unspoiled.explorer,"57.103533,-2.250869",,,,,,30,,,,,,,,
129,Kirkhill Golf Club,"Greenlees Rd, Cambuslang, Glasgow",G72 8YN,///former.paths.owners,"55.804455,-4.173699",,,,,,30,,,,,,,,
130,Kirkintilloch Golf Club,"Campsie Rd, Kirkintilloch, Glasgow",G66 1RN,///comic.refuse.acting,"55.944548,-4.169629",,,,,,30,,,,,,,,
131,Ladybank Golf Club,"Annsmuir, Ladybank, Cupar",KY15 7RA,///sandals.about.solutions,"56.282247,-3.124636",,,,,,30,,,,,,,,
132,Lanark Golf Club,"The Moor, Whitelees Rd, Lanark",ML11 7RX,///moats.sideburns.grips,"55.670157,-3.753564",,,,,,30,,,,,,,,
133,Largs Golf Club,"Irvine Rd, Largs",KA30 8EU,///appendix.imperious.apartment,"55.783972,-4.856085",,,,,,30,,,,,,,,
134,Lenzie Golf Club,"19 Crosshill Rd, Lenzie, Kirkintilloch, Glasgow",G66 5DA,///events.regime.intend,"55.914767,-4.151775",,,,,,30,,,,,,,,
135,Liberton Golf Club,"297 Gilmerton Rd, Edinburgh",EH16 5UJ,///cats.venues.faced,"55.918809,-3.147905",,,,,,30,,,,,,,,
136,Linlithgow Golf Club,"Golf Course Rd, Braehead Terrace, Linlithgow",EH49 6QF,///tricky.spruced.opinion,"55.96689,-3.617742",,,,,,2000,,,,,,,,
137,Loch Lomond Golf Club,"Rossdhu North Lodge, A82, Luss, Alexandria",G83 8NT,///jolt.rubble.expressed,"56.060977,-4.633039",,,,,,30,,,,,,,,
138,Lochview Family Golf Centre,"Townhead Rd, Coatbridge",ML5 2HX,///salad.crest.bump,"55.872803,-4.059424",,,,,,30,,,,,,,,
139,Longniddry Golf Club,"Links Rd, Logniddry",EH32 0NL,///apparatus.tone.deleting,"55.977644,-2.902513",,,,,,30,,,,,,,,
140,Lundin Golf Club,"Golf Rd, Lundin Links, Leven",KY8 6BA,///ferried.shoulders.employer,"56.211015,-2.953604",,,,,,30,,,,,,,,
141,Macdonald Spey Valley,"Spey Valley Country Club, Dalfaber Drive, Aviemore",PH22 1ST,///spruced.glitz.parties,"57.199237,-3.810061",,,,,,30,,,,,,,,
142,Machrie Hotel & Golf Club,"Port Ellen, Isle of Islay",PA42 7AN,///fights.chess.line,"55.66191,-6.249976",,,,,,30,,,,,,,,
143,Machrihanish Golf Club,"Golf CLub House, Machrihanish",PA28 6PT,///clarifies.defend.brightens,"55.423148,-5.731067",,,,,,30,,,,,,,,
144,Mar Hall Hotel Golf & Spa,"Earl of Mar Estate, Mar Hall Ave, Bishipton",PA7 5NW,///worldwide.pothole.rumble,"55.920858,-4.478589",,,,,,30,,,,,,,,
145,Maverston Golf Course,"Garmoutth Rd, Elgin",IV30 8LR,///mirroring.flirts.freezing,"57.654956,-3.172335",,,,,,30,,,,,,,,
146,McDonald Golf Club,"Hospital Rd, Ellon",AB41 9AW,///blissful.chiefs.hoped,"57.370513,-2.083258",,,,,,30,,,,,,,,
147,Mearns Castle Golf Academy,"Waterfoot Rd, Glasgow",G77 5RR,///fills.older.zooms,"55.770092,-4.291115",,,,,,30,,,,,,,,
148,Meldrum House Golf Club,"Oldmeldrum, Inverurie",AB51 OAE,///ideals.speeches.airliners,"57.351808,-2.31215",,,,,,30,,,,,,,,
149,Melville Golf Centre,Lasswade,EH18 1AN,///sizes.fake.mouse,"55.886737,-3.098176",,,,,,30,,,,,,,,
150,Merchants of Edinburgh Golf Club,"10 Craighill Gardens, Edinburgh",EH10 5PY,///tester.sample.soccer,"55.920426,-3.223531",,,,,,30,,,,,,,,
151,Monifieth Golf Links,"Medal Starters Box, Princes St, Monifieth",DD5 4AW,///bowls.doghouse.upward,"56.481336,-2.811279",,,,,,30,,,,,,,,
152,Montrose Golf Links Ltd.,"5 Traill Dr, Montrose",DD10 8SW,///bandwagon.calm.topical,"56.715381,-2.453002",,,72,,60-80,30,6500,,Links,,,Montrose,Angus,"One of the oldest clubs in the world, classic links."
153,Moray Golf Club,"Stotfield Rd, Lossiemouth",IV31 6QS,///cookies.litigate.woven,"57.721445,-3.295278",,,,,,30,,,,,,,,
154,Mortonhall Golf Club,"231 Braid Rd, Edinburgh",EH10 6PB,///saving.beast.tones,"55.911182,-3.209608",,,,,,30,,,,,,,,
155,Murcar Links Golf Club,"Murcar, Bridge of Don",AB23 8BD,///stacks.span.racks,"57.201339,-2.072755",,,72,,80-100,30,6500,,Links,,,Aberdeen,Aberdeenshire,Challenging coastal links with dunes
156,Murrayfield Golf Club,"43 Murrayfield Rd, Edinburgh",EH12 6EU,///hurray.beams.bolts,"55.949857,-3.251132",,,,,,30,,,,,,,,
157,Murrayshall Hotel & Golf Courses,"Murrayshall Rd, Scone, Perth",PH2 7PH,///snacking.both.vans,"56.41951,-3.363364",,,,,,30,,,,,,,,
158,Musselburgh Golf Club,"Monktonhall, Musselburgh, Edinburgh",EH21 6SA,///scars.cards.varieties,"55.930587,-3.059032",,,,,,30,,,,,,,,
159,Myrus Golf Centre,"Myrus Cir, Macduff",AB44 1RG,///savings.gladiator.intersect,"57.658352,-2.485565",,,,,,30,,,,,,,,
160,Nairn Dunbar Golf Links,"Lochloy Rd, Nairn ",IV12 5AE,///agency.pasting.perusing,"57.586123,-3.858972",,,,,,30,,,,,,,,
161,Nairn Golf Club,"Seabank Rd, Nairn",IV12 4HB,///cured.ballots.unframed,"57.587794,-3.895456",,,,,,30,,,,,,,,
162,National Centre Inverclyde,"Burnside Rd, Largs",KA30 8RW,///succumbs.vets.relaxing,"55.803269,-4.84987",,,,,,30,,,,,,,,
163,Newbattle Golf Club,"Abbey Rd, Dalkeith",EH22 3AD,///chapels.dolls.makes,"55.888274,-3.069982",,,,,,30,,,,,,,,
164,Newmachar Golf Club,"Swailend, Newmachar, Aberdeen",AB21 7UU,///unloads.august.tweaked,"57.243788,-2.19839",,,,,,30,,,,,,,,
165,Noah's Ark Golf Centre,"Newhouse Farm, Perth",PH1 1QF,///origin.extend.strong,"56.397356,-3.491545",,,,,,30,,,,,,,,
166,Nrth Berwick Golf Club,"New Club House, Beach Rd, North Berwick",EH39 4BB,///saloons.donates.interlude,"56.058686,-2.72738",,,71,,100-150,30,6400,,"Links, Coastal",,,North Berwick,East Lothian,Historic coastal links with iconic views
167,Nuffield Health/Dougalston GC,"Strathblane Rd, Glasgow",G62 8HJ,///double.shakes.drag,"55.948051,-4.295352",,,,,,30,,,,,,,,
168,Old Ranfurly - Old Course Ranfurly,"Ranfurly Pl, Bridge of Weir",PA11 3DE,///revise.penny.latitudes,"55.852617,-4.580041",,,,,,30,,,,,,,,
169,Oldmeldrum Golf Club,"Kirk Brae, Oldmeldrum, Inverurie",AB51 0DJ,///unite.quaking.shop,"57.336042,-2.310149",,,,,,30,,,,,,,,
170,Paisley Golf Club,"Braehead Rd, Paisley",PA2 8TZ,///jumpy.merit.slim,"55.811867,-4.445252",,,,,,30,,,,,,,,
